cosmology,h,omega_m,omega_b,log10_mass_hinv,redshift,x,ne_native_m3,ne_paper_m3,n200_paper_m3,native_factor
HalfDome,0.68,0.31,0.049,13.2,0.0,1.0231599078421405,118.00467658712847,196.1410683478777,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.043970272888721,113.33452494740877,188.37859182191653,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.0652039063707168,108.78628444923838,180.8187494816382,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.086869417275429,104.3594131952964,173.46064061426983,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.1089755896910076,100.05328025185723,166.30321651548397,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.131531386367882,95.86716603532139,159.3452811318693,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.1545459523526274,91.80026291365948,152.58549206061912,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.1780286186957432,87.85167602441273,146.0223619091675,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.201988906234844,84.02042431003312,139.65426001607682,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.2264365294547976,80.30544177044656,133.4794145329809,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.2513814004263775,76.70557893180546,127.49591486586768,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.276833632825022,73.21960452945598,121.70171447241681,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.3028035460313359,69.84620740218908,116.09463401052295,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.3293016693149884,66.58399859388042,110.67236483152918,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.3563387461037144,63.43151365765678,105.43247281008921,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.3839257383391397,60.38721515676147,100.3724025009725,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.412073830921203,57.44949535533534,95.48948161153642,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.440794436242974,54.61667909139264,90.78092577703343,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.4700991988177061,51.88702682335344,86.24384362439427,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.0,1.5,49.25873784060645,81.87524210865418,215.99585198237747,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.5,0.04000000000000001,1234.1659906777825,2051.3647673228,375.1021854315374,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.5,0.040813572341413196,1224.4649647085384,2035.2402402895589,375.1021854315374,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.5,0.04164369218169419,1214.7949430007636,2019.1672468831525,375.1021854315374,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.5,0.04249069608552793,1205.1555046725225,2003.145087536114,375.1021854315374,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.5,0.043354927463092406,1195.5462328434332,1987.173069332147,375.1021854315374,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.5,0.044236736709291076,1185.9667147665225,1971.2505062252883,375.1021854315374,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.5,0.045136481345817485,1176.4165419646263,1955.3767192666194,375.1021854315374,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.5,0.046054526166109215,1166.8953103713743,1939.5510368386076,375.1021854315374,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.5,0.04699124338325009,1157.402620476865,1923.7727948972438,375.1021854315374,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.5,0.04794701278088078,1147.9380774780993,1908.0413372220753,375.1021854315374,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.5,0.048922221867178504,1138.501291434238,1892.356015674275,375.1021854315374,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.5,0.049917266031968895,1129.091877426766,1876.7161904628538,375.1021854315374,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.5,0.05093254870703324,1119.709455724634,1861.1212304191492,375.1021854315374,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.5,0.05196848152967626,1110.3536519544268,1845.5705132796757,375.1021854315374,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.5,0.05302548450962092,1101.024097275648,1830.0634259774663,375.1021854315374,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.5,0.05410398619929744,1091.7204285611701,1814.5993649420116,375.1021854315374,0.6016316602183194
HalfDome,0.68,0.31,0.049,13.2,0.5,0.055204423867596164,1082.4422885828953,1799.1777364078548,375.1021854315374,0.6016316602183194
