shape_index,x,previous_h,smooth_h,previous_dh_dx,smooth_dh_dx,physical_y_over_A
0.000000000000000000e+00,3.163999999999999702e+00,7.112053144376560528e-05,7.112053144376560528e-05,-6.309252466583888986e-05,-6.309252466583888986e-05,3.481015172196748244e-04
0.000000000000000000e+00,3.168000000000000149e+00,7.086876883831465463e-05,7.086876883831465463e-05,-6.278908142267868313e-05,-6.278908142267868313e-05,3.461350233652429192e-04
0.000000000000000000e+00,3.171999999999999709e+00,7.061821637411325463e-05,7.061821637411325463e-05,-6.248745188624872985e-05,-6.248745188624872985e-05,3.441771616657931469e-04
0.000000000000000000e+00,3.176000000000000156e+00,7.036886682212182696e-05,7.036886682212182696e-05,-6.218762318045861803e-05,-6.218762318045861803e-05,3.422278697843526298e-04
0.000000000000000000e+00,3.179999999999999716e+00,7.012071300459409994e-05,7.012071300459409994e-05,-6.188958253477511379e-05,-6.188958253477511379e-05,3.402870857140745538e-04
0.000000000000000000e+00,3.184000000000000163e+00,6.987374779465605856e-05,6.987374779465605856e-05,-6.159331728324155474e-05,-6.159331728324155474e-05,3.383547477735037281e-04
0.000000000000000000e+00,3.187999999999999723e+00,6.962796411589028856e-05,6.962796411589028856e-05,-6.129881486350899334e-05,-6.129881486350899334e-05,3.364307946018530956e-04
0.000000000000000000e+00,3.191999999999999726e+00,6.938335494192303084e-05,6.938335494192303084e-05,-6.100606281587595968e-05,-6.100606281587595968e-05,3.345151651542697274e-04
0.000000000000000000e+00,3.195999999999999730e+00,6.913991329601565415e-05,6.913991329601565415e-05,-6.071504878233895792e-05,-6.071504878233895792e-05,3.326077986971029301e-04
0.000000000000000000e+00,3.199999999999999734e+00,6.889763225065962424e-05,6.889763225065962424e-05,-6.042576050565251716e-05,-6.042576050565251716e-05,3.307086348031662289e-04
0.000000000000000000e+00,3.203999999999999737e+00,6.865650492717559296e-05,6.865650492717559296e-05,-6.013818582839898670e-05,-6.013818582839898670e-05,3.288176133469963131e-04
0.000000000000000000e+00,3.207999999999999741e+00,6.841652449531557744e-05,6.841652449531557744e-05,-5.985231269206783150e-05,-5.985231269206783150e-05,3.269346745001018464e-04
0.000000000000000000e+00,3.211999999999999744e+00,6.817768417286947601e-05,6.817768417286947601e-05,-5.956812913614450934e-05,-5.956812913614450934e-05,3.250597587262087518e-04
0.000000000000000000e+00,3.215999999999999748e+00,6.793997722527471471e-05,6.793997722527471471e-05,-5.928562329720859760e-05,-5.928562329720859760e-05,3.231928067764921076e-04
0.000000000000000000e+00,3.219999999999999751e+00,6.770339696522968860e-05,6.770339696522968860e-05,-5.900478340804135932e-05,-5.900478340804135932e-05,3.213337596848000739e-04
0.000000000000000000e+00,3.223999999999999755e+00,6.746793675231075379e-05,6.746793675231075379e-05,-5.872559779674224042e-05,-5.872559779674224042e-05,3.194825587628646467e-04
0.000000000000000000e+00,3.227999999999999758e+00,6.723358999259268888e-05,6.723358999259268888e-05,-5.844805488585458938e-05,-5.844805488585458938e-05,3.176391455954991300e-04
0.000000000000000000e+00,3.231999999999999762e+00,6.700035013827265306e-05,6.700035013827265306e-05,-5.817214319150026063e-05,-5.817214319150026063e-05,3.158034620357799954e-04
0.000000000000000000e+00,3.235999999999999766e+00,6.676821068729758639e-05,6.676821068729758639e-05,-5.789785132252307451e-05,-5.789785132252307451e-05,3.139754502002127501e-04
0.000000000000000000e+00,3.239999999999999769e+00,6.653716518299505260e-05,6.653716518299505260e-05,-5.762516797964101179e-05,-5.762516797964101179e-05,3.121550524638795360e-04
0.000000000000000000e+00,3.243999999999999773e+00,6.630720721370736144e-05,6.630720721370736144e-05,-5.735408195460714291e-05,-5.735408195460714291e-05,3.103422114555662911e-04
0.000000000000000000e+00,3.247999999999999776e+00,6.607833041242910639e-05,6.607833041242910639e-05,-5.708458212937890541e-05,-5.708458212937890541e-05,3.085368700528686608e-04
0.000000000000000000e+00,3.251999999999999780e+00,6.585052845644806334e-05,6.585052845644806334e-05,-5.681665747529610934e-05,-5.681665747529610934e-05,3.067389713772752501e-04
0.000000000000000000e+00,3.255999999999999783e+00,6.562379506698919280e-05,6.562379506698919280e-05,-5.655029705226709443e-05,-5.655029705226709443e-05,3.049484587892250706e-04
0.000000000000000000e+00,3.259999999999999787e+00,6.539812400886215219e-05,6.539812400886215219e-05,-5.628549000796333049e-05,-5.628549000796333049e-05,3.031652758831388590e-04
0.000000000000000000e+00,3.263999999999999790e+00,6.517350909011154585e-05,6.517350909011154585e-05,-5.602222557702186479e-05,-5.602222557702186479e-05,3.013893664824203629e-04
0.000000000000000000e+00,3.267999999999999794e+00,6.494994416167087473e-05,6.494994416167087473e-05,-5.576049308025633451e-05,-5.576049308025633451e-05,2.996206746344287869e-04
0.000000000000000000e+00,3.271999999999999797e+00,6.472742311701938644e-05,6.472742311701938644e-05,-5.550028192387556876e-05,-5.550028192387556876e-05,2.978591446054178996e-04
0.000000000000000000e+00,3.275999999999999801e+00,6.450593989184198816e-05,6.450593989184198816e-05,-5.524158159871036942e-05,-5.524158159871036942e-05,2.961047208754400664e-04
0.000000000000000000e+00,3.279999999999999805e+00,6.428548846369220877e-05,6.428548846369220877e-05,-5.498438167944780014e-05,-5.498438167944780014e-05,2.943573481332135825e-04
0.000000000000000000e+00,3.283999999999999808e+00,6.406606285165849504e-05,6.406606285165849504e-05,-5.472867182387357299e-05,-5.472867182387357299e-05,2.926169712709522207e-04
0.000000000000000000e+00,3.287999999999999812e+00,6.384765711603306916e-05,6.384765711603306916e-05,-5.447444177212171278e-05,-5.447444177212171278e-05,2.908835353791517373e-04
