case,mass_Msun,z,r_over_R200,theta_rad,native_evaluations,native_relative_error,native_y,scaled_evaluations,scaled_relative_error,log_y_scaled,outside_painted_disc
slow_fit_trial,5.011872336272715e15,0.1,10000.0,89.02482097591188,209,2.1068954768925354e-13,1.2224043669127377e-52,95,9.113497090142032e-12,-119.53360512385767,true
slow_fit_trial,5.011872336272715e15,0.1,1.0e6,8902.482097591188,19,1.7603034320346172e-16,2.087313388080824e-76,19,2.833751123059021e-16,-174.2605892887319,true
slow_fit_trial,5.011872336272715e15,1.0,0.003,4.347544589968596e-6,969,2.5245667860923157e-14,0.00033750181683390155,209,2.513835404251281e-12,-7.993939664454619,false
slow_fit_trial,5.011872336272715e15,1.0,0.1,0.0001449181529989532,779,7.534614707346166e-14,0.00012063993787822523,133,7.195672480240996e-11,-9.022700168639897,false
slow_fit_trial,5.011872336272715e15,1.0,1.0,0.001449181529989532,703,1.7485278323944742e-13,3.3831423928199985e-8,171,1.0723326651649944e-12,-17.201875764344933,false
slow_fit_trial,5.011872336272715e15,1.0,4.0,0.005796726119958128,627,1.0290824716930536e-13,7.849214872755791e-15,171,4.8032959458014736e-12,-32.47836288432778,false
slow_fit_trial,5.011872336272715e15,1.0,100.0,0.1449181529989532,475,3.543874962369581e-13,2.896812635587534e-40,171,1.2749795035526202e-13,-91.03979267838976,true
slow_fit_trial,5.011872336272715e15,1.0,10000.0,14.49181529989532,209,1.2088449970721235e-13,1.1407671873096878e-80,95,8.37246881180294e-11,-184.07510643213666,true
slow_fit_trial,5.011872336272715e15,1.0,1.0e6,1449.181529989532,19,8.67303472736589e-16,1.1110080231889801e-121,19,4.02360907571221e-15,-278.50752852005587,true
slow_fit_trial,5.011872336272715e15,5.0,0.003,2.007473115276237e-6,969,2.4704187628908087e-14,0.0003853366774802854,209,8.31682529076456e-11,-7.861393118855663,false
slow_fit_trial,5.011872336272715e15,5.0,0.1,6.69157705092079e-5,779,3.6983365510629125e-14,0.00024497552595924245,171,1.0701145997731935e-11,-8.314352246453199,false
slow_fit_trial,5.011872336272715e15,5.0,1.0,0.000669157705092079,665,3.9282897675839213e-13,3.235817144687177e-6,171,2.1125305057409737e-11,-12.64122906695075,false
slow_fit_trial,5.011872336272715e15,5.0,4.0,0.002676630820368316,627,3.2203643683916435e-13,8.722320976929403e-12,171,3.254175524204641e-12,-25.465135746344775,false
slow_fit_trial,5.011872336272715e15,5.0,100.0,0.0669157705092079,475,5.512103386811447e-13,9.311414891090057e-61,209,5.804211534300362e-13,-138.22644961748247,true
slow_fit_trial,5.011872336272715e15,5.0,10000.0,6.69157705092079,247,9.772535406502823e-13,5.241485441979985e-169,133,1.5289820522679563e-11,-387.48027577654017,true
slow_fit_trial,5.011872336272715e15,5.0,1.0e6,669.157705092079,19,4.067385229377363e-16,7.774709233391418e-280,19,1.0782364511844241e-14,-642.6729499786013,true
slow_fit_trial,5.011872336272715e15,5.0,1.0e8,66915.7705092079,19,NaN,0.0,19,4.4235863660084906e-14,-901.8199347722731,true
