case,mass_Msun,z,r_over_R200,theta_rad,native_evaluations,native_relative_error,native_y,scaled_evaluations,scaled_relative_error,log_y_scaled,outside_painted_disc
Battaglia12,1.0e12,5.0,1.778279410038923e6,69.53367995740878,19,1.938741808377702e-16,1.049245112516403e-48,19,2.8499002103443425e-15,-110.47601349856696,true
Battaglia12,1.0e12,5.0,2.3713737056616554e6,92.72465248038996,19,1.1871646365066336e-16,1.070942112996131e-49,19,6.59735913969319e-16,-112.75813081619343,true
Battaglia12,1.0e12,5.0,3.1622776601683795e6,123.65031137249615,19,2.9100994505260655e-16,1.0922174876745766e-50,19,4.174627628250021e-15,-115.04104462767303,true
Battaglia12,1.0e12,5.0,4.216965034285823e6,164.890340308892,19,7.136739063726559e-16,1.1134152034826749e-51,19,1.0248991510545825e-15,-117.32440769101719,true
Battaglia12,1.0e12,5.0,5.623413251903491e6,219.88480275861156,19,2.1883245857870068e-16,1.1347370821454423e-52,19,7.807317248995459e-16,-119.60802385727784,true
Battaglia12,1.0e12,5.0,7.498942093324558e6,293.2210970856137,19,0.0,1.1563024774113835e-53,19,1.4312815239282857e-15,-121.89178253400053,true
Battaglia12,1.0e12,5.0,1.0e7,391.01661732610864,19,3.29317028052973e-16,1.178183199875242e-54,19,2.9494199229711643e-15,-124.17562143081979,true
Battaglia12,1.0e12,5.0,1.333521432163324e7,521.4290395363709,19,4.0401960630828526e-16,1.2004237660337646e-55,19,2.660482422410323e-15,-126.45950548185576,true
Battaglia12,1.0e12,5.0,1.7782794100389227e7,695.3367995740876,19,3.7176028935652266e-16,1.223053078257291e-56,19,2.1594664372506385e-15,-128.7434149518564,true
Battaglia12,1.0e12,5.0,2.3713737056616552e7,927.2465248038997,19,0.0,1.2460911430936732e-57,19,2.0568871922174716e-16,-131.02733873442025,true
Battaglia12,1.0e12,5.0,3.162277660168379e7,1236.5031137249614,19,1.8653325198867368e-16,1.2695529299731679e-58,19,1.3714374611736131e-15,-133.31127057880218,true
Battaglia12,1.0e12,5.0,4.2169650342858225e7,1648.90340308892,19,5.721465105378044e-16,1.2934505860715008e-59,19,5.852258117797761e-15,-135.5952069664573,true
Battaglia12,1.0e12,5.0,5.623413251903491e7,2198.848027586115,19,1.4039425775529355e-16,1.3177947075723328e-60,19,1.8290827089621253e-15,-137.87914591626162,true
Battaglia12,1.0e12,5.0,7.498942093324558e7,2932.210970856137,19,5.167533775152683e-16,1.3425950697197333e-61,19,9.756466116317842e-16,-140.1630863123095,true
Battaglia12,1.0e12,5.0,1.0e8,3910.1661732610864,19,0.0,1.3678610465967383e-62,19,2.1684072127677676e-15,-142.44702752571467,true
Battaglia12,1.0e14,0.1,0.003,7.243964718463936e-6,969,2.5402259739593855e-14,7.666020397585587e-6,209,4.1697989781970325e-12,-11.778712930223437,false
Battaglia12,1.0e14,0.1,0.1,0.00024146549061546455,779,4.292146159747463e-14,4.361276041235821e-6,133,1.1503684323327215e-11,-12.342745873414628,false
Battaglia12,1.0e14,0.1,1.0,0.0024146549061546453,665,1.231070744438064e-13,1.7120824305181892e-7,133,5.7770316069878835e-12,-15.580385225730712,false
Battaglia12,1.0e14,0.1,4.0,0.009658619624618581,589,3.062777403237394e-13,2.82292466601153e-9,133,6.3702536588646886e-12,-19.6854923738223,false
Battaglia12,1.0e14,0.1,100.0,0.24146549061546452,437,8.146303441990079e-14,2.0396225532405076e-14,133,4.971518358570523e-13,-31.523426534100693,true
Battaglia12,1.0e14,0.1,133.3521432163324,0.3219994068635539,399,3.254486396450459e-13,6.81792588762778e-15,133,3.5007181936091795e-13,-32.61922109135852,true
Battaglia12,1.0e14,0.1,177.82794100389228,0.4293931101964273,399,7.972558448203365e-14,2.2760605558135113e-15,133,2.4798937372097635e-13,-33.71633027275559,true
