beta0,P0_lower_all_guards_except_minimum_size,P0_upper
4.398052550987289422e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.405961172288593630e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.413869793589897839e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.421778414891201159e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.429687036192504479e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.437595657493808687e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.445504278795112896e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.453412900096416216e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.461321521397720424e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.469230142699023745e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.477138764000327953e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.485047385301632161e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.492956006602935481e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.500864627904239690e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.508773249205543010e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.516681870506847218e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.524590491808150539e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.532499113109454747e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.540407734410758067e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.548316355712062276e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.556224977013366484e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.564133598314669804e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.572042219615974012e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.579950840917277333e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.587859462218581541e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.595768083519885749e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.603676704821189070e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.611585326122492390e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.619493947423796598e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.627402568725100807e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.635311190026404127e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.643219811327708335e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.651128432629011655e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.659037053930315864e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.666945675231620072e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.674854296532923392e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.682762917834227601e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.690671539135530921e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.698580160436835129e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.706488781738138449e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.714397403039442658e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.722306024340745978e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.730214645642050186e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.738123266943354395e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.746031888244657715e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.753940509545961923e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.761849130847265243e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.769757752148569452e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.777666373449873660e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.785574994751176980e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.793483616052480301e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.801392237353784509e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.809300858655088717e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.817209479956392038e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.825118101257696246e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.833026722558999566e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.840935343860303774e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.848843965161607983e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.856752586462911303e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.864661207764215511e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.872569829065518832e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.880478450366823040e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.888387071668127248e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.896295692969430569e+00,1.000000000000000000e+00,6.000000000000000000e+01
4.904204314270733889e+00,1.000000000000000000e+00,6.000000000000000000e+01
